fid;name;latitude;longitude;gebied;domeinen;website;koepels;initiatief_type;location_type
69;Rotterdam Circulair;51.9063321676729;4.45947635569449;Rotterdam;Circulair;https://rotterdamcirculair.nl/;Rotterdam Circulair;plek;area
70;Placebased;51.9087049568624;4.43420049957033;Nieuw Mathenesse;"Cultuur; Wonen";https://placebased.nl/;Rotterdam Circulair;plek;area
71;Delfshaven Coöperatie;51.9103977705702;4.44842911122302;"Delfshaven; Witte Dorp; Oud Mathenesse; Spangen; Midelland; Nieuwe Westen; Bospolder; Schiemond; Tussendijken";Wonen;https://delfshavencooperatie.nl/;Welzijnscoalitie Delfshaven;plek;area
72;Delfshaven Helpt;51.9107509960461;4.44033616496939;"Delfshaven; Witte Dorp; Oud Mathenesse; Spangen; Midelland; Nieuwe Westen; Bospolder; Schiemond; Tussendijken";Welzijn;https://www.zorgvrijstaat.nl/delfshaven-helpt/;Welzijnscoalitie Delfshaven;plek;area
73;BoTu Buurthuiskamers;51.9134528029349;4.43949691714598;"Bospolder; Tussendijken";"Welzijn; Cultuur";https://bospoldertussendijken.nl/organisaties/;Welzijnscoalitie Delfshaven;plek;area
74;Studio Delfshaven;51.908543228133;4.44677754455495;"Delfshaven; Witte Dorp; Oud Mathenesse; Spangen; Midelland; Nieuwe Westen; Bospolder; Schiemond; Tussendijken";Cultuur;https://www.wijkconnect.com/rotterdam/organisaties/8895/studio-delfshaven?usergroup_id=8895&usergroup=studio-delfshaven;;plek;area
75;Wijkplatform Delfshaven Zuid;51.9120909247306;4.43965367511351;"Bospolder; Tussendijken";"Welzijn; Wonen";https://www.wijkconnect.com/rotterdam/delfshaven/organisaties/391/wijkplatform-delfshaven-zuid;Welzijnscoalitie Delfshaven;plek;area
76;Wijk in Bloei;51.9185677670065;4.42268397491063;Oud Mathenesse;"Groen; Klimaat";https://mathenesseaandemaas.nl/wijk-in-bloei/;"Groen010; Rotterdams Weerwoord";plek;area
77;Huize Middelland;51.915101744194;4.45980143516936;Middelland;"Welzijn; Cultuur";https://huizemiddelland.nl/;Welzijnscoalitie Delfshaven;plek;area
78;Thuis in West;51.914847093425;4.45822636200672;Middelland;"Welzijn; Wonen";https://www.thuisinwest.nl/;;plek;point
79;De Stadstuinier;51.9098773400336;4.45402576485783;Nieuwe Westen;"Groen; Voedsel; Klimaat";https://destadstuinier.nl/;Groen010;plek;area
80;Groep Goed Wonen;51.9136323610541;4.4505777464723;Nieuwe Westen;"Wonen; Welzijn";https://www.rotterdam-010.nl/bewonersvereniging-groep-goed-wonen-3023hg/;;plek;area
81;Buurman Rotterdam;51.9021820289818;4.4503791865458;Schiemond;"Circulair; Cultuur";https://buurmanrotterdam.nl/;Rotterdam Circulair;plek;area
82;Wijkcooperatie Agniesebuurt;51.928927675108;4.47862835275375;Agniesebuurt;"Wonen; Welzijn";https://www.agniesewijkbv.nl/;;plek;area
83;Afrikaanderwijk Coöperatie (Grondstoffestation);51.8988490716244;4.50039227460153;Afrikaanderwijk;"Circulair; Cultuur; Welzijn";https://wijkcooperatie.org/nl/home/;Rotterdam Circulair;plek;area
84;Tarwekracht;51.8939305535162;4.48737924257212;Tarwewijk;"Welzijn; Wonen";https://tarwekracht.nl/;;plek;area
85;Wijkcoöperatie Crooswijk;51.9303997783618;4.49672938464078;"Nieuw Crooswijk; Oud Crooswijk";"Wonen; Welzijn";;;plek;area
86;Vreewijk Coöperatie;51.8844607048183;4.50700066703119;Vreewijk;"Wonen; Welzijn";https://www.vreewijkcooperatie.nl/;;plek;area
87;Botucoöp (in oprichting);51.912775999671;4.44172107939446;"Bospolder; Tussendijken";"Wonen; Welzijn";https://botucoop.nl/;;plek;area
88;ZOHOCITIZENS Ondernemerscollectief;51.9291615613922;4.47866041207879;Zomerhofkwartier;"Cultuur; Welzijn; Wonen";https://zohorotterdam.nl/;;netwerk;point
89;Wijkcoöperatie Noord (in oprichting);51.9289426355352;4.47815648353187;"Blijdorp; Provenierswijk; Bergpolder; Agniesebuurt; Liskwartier";"Wonen; Welzijn";https://zohorotterdam.nl/wijk-coop-010/#:~:text=De%20Wijkco%C3%B6peratie%20Rotterdam%20(Noord)%20is,te%20benutten%20voor%20de%20wijk.;;plek;area
91;Nationaal Park Rotterdam;51.9058369706102;4.46987912426124;Rotterdam;"Klimaat; Groen";https://www.nationaalparkstadrotterdam.nl/over-ons;"Groen010; Rotterdams Weerwoord";plek;area
92;Bewonersvereniging Stampioendwarsstraten;51.9121408576916;4.5046801397776;Feijenoord;"Wonen; Groen";https://www.stampioendwarsstraten.nl/;;plek;area
93;Kralingen aan de Maas;51.9182866832016;4.51310580436668;"Struisenburg; Kralingen Oost; De Esch";"Wonen; Mobiliteit";https://kralingenaandemaas.nl/;;wijk;area
94;Rotterdams Tij;51.8977706390929;4.52129840470585;Oud Ijsselmonde;"Klimaat; Groen";https://rotterdams-tij.nl/;;plek;point
95;Buurtcollectief De Esch;51.9132640653118;4.52058539892384;De Esch;"Wonen; Welzijn";https://www.buurtcollectiefdeesch.nl/projecten/;;plek;point
97;Wijkwijs (onderzoek);51.9198541362006;4.46286535310819;Rotterdam;Cultuur;https://wijkwijs.nl/;;plek;area
98;Essajo;51.9153279511142;4.43768200898179;Rotterdam;Cultuur;https://www.stichtingessajo.com/;;plek;point
99;Recht op de stad;51.9166948395589;4.47344240823527;Rotterdam;Wonen;https://rechtopdestad.nl/;;plek;area
100;Stadslab zeggenschap;51.8898302327219;4.46468535666528;Rotterdam;Wonen;;;plek;area
101;Kunstlab + buren;51.8715242170605;4.48311428423485;Rotterdam;"Cultuur; Welzijn";https://www.grootrotterdamsatelierweekend.nl/locaties/bornerveld/;;plek;point
102;Stichting Hart voor Prins Alexander;51.9701664175117;4.54830366580754;"Het Lage Land; Oosterflank; Prinsenland; Ommoord; ’s Gravenland; Zevenkamp; Nesselande";Cultuur;https://sites.google.com/shvpa.nl/stichting;;plek;area
103;N8W8 R'dam;51.9214383828661;4.47756761548154;Rotterdam;Cultuur;https://n8w8rdam.nl/;;netwerk;point
104;Rotterdam loopt;51.9049338275746;4.49361203003305;Rotterdam;"Welzijn; Mobiliteit";https://www.burgerpanelrotterdam.nl/rotterdam-loopt/;;plek;area
105;Coöperatie Wijkmobiliteit Rotterdam;51.8886280250753;4.53355867355208;Rotterdam;"Mobiliteit; Welzijn";https://cwr.nu/;;plek;area
106;Coöperatie de Veldfabriek Rotterdam;51.9024147034506;4.45154024615883;Rotterdam;"Groen; Voedsel; Welzijn";https://www.veldfabriek.nl/;;plek;point
107;De Urbanisten;51.908;4.433;Nieuw Mathenesse;"Klimaat; Groen; Wonen";https://www.urbanisten.nl/;;plek;point
108;Rotterdams Weerwoord;51.9140761402891;4.4781646172697;Rotterdam;"Klimaat; Groen";https://rotterdamsweerwoord.nl/;;plek;area
111;Warm010;51.9149815110274;4.47386674646617;Rotterdam;Welzijn;;Welzijnscoalitie Delfshaven;netwerk;area
112;Thuismakerscollectief;51.9319119440377;4.488744138338;Rotterdam;"Wonen; Welzijn; Cultuur";;;plek;area
113;Pleidooi voor Plek;51.8966574236271;4.46658897353093;Rotterdam;Voedsel;https://pleidooivoorplek.nl/;;netwerk;area
114;Platform Rotterdamse Volkstuinen;51.9384775899353;4.45358232044544;Rotterdam;Groen;https://rotterdamsevolkstuinen.nl/;Groen010;netwerk;area
115;Schiehaven Noord;51.9029902323013;4.45475380520539;Schiemond;Wonen;https://www.rotterdam.nl/schiehaven-noord;RoCoCo;plek;point
116;Jacobustuin;51.91772222;4.473527778;Cool;Groen;http://www.jacobustuin.nl;;plek;point
117;Eendrachtstuin;51.91330556;4.477388889;Cool;Groen;;;plek;point
118;Minivoedselbos Rotterdam Central District;51.925458;4.474973;Cs Kwartier;Groen;;;plek;point
119;DakAkker;51.92545452;4.476733908;Cs Kwartier;Groen;www.dakakker.nl;;plek;point
120;Landje van Geluk;51.9100593;4.464058609;Dijkzigt;Groen;;;plek;point
121;Coolhavenpark / Tuschinskipark - actieve bewoners;51.90975;4.460833333;Dijkzigt;Groen;https://www.stichtingtuschinskirotterdam.nl/over-de-stichting;;plek;point
122;Kleine Avonturenpark - het;51.90816667;4.460972222;Dijkzigt;Groen;http://hetkleineavonturenpark.blogspot.nl/;;plek;point
123;Wijktuin Oude Westen (in het Wijkpark);51.91880556;4.470666667;Oude Westen;Groen;https://www.facebook.com/komengeniet/;;plek;point
124;Dierenhofje (in Wijkpark Oude Westen);51.918421;4.471003;Oude Westen;Groen;https://aktiegroepoudewesten.nl/aanvraagformulier-wow-initiatief/wijkpark/;;plek;point
125;Aktiegroep het Oude Westen;51.9195;4.468305556;Oude Westen;Groen;http://aktiegroepoudewesten.nl/groepen/wijkpark/;;plek;point
126;Herenplaats / OMI Binnenterrein;51.9165;4.465555556;Oude Westen;Groen;https://www.herenplaats.nl/;;plek;point
